family,n,instance,m,prop_n,prop_m,prop_density,prop_avg_degree,prop_max_degree,prop_min_degree,prop_degree_std,prop_clustering_coeff,prop_diameter,prop_avg_path_length,prop_spectral_gap,prop_lambda_max_laplacian,prop_algebraic_connectivity,prop_spectral_radius,prop_lambda_min_adj,prop_n_components,random_cut,random_time,greedy_cut,greedy_time,spectral_cut,spectral_time,gw_cut,gw_time,gnn_cut,gnn_time,best_classical_cut,gnn_wins,gnn_ties
erdos_renyi,50,25,163,50,163,0.1330612244897959,6.52,13,2,2.351510153071851,0.1113837273837273,4,2.239183673469388,1.5884212231876471,15.022382609854962,1.5884212231876471,7.476534706791058,-4.597005368003248,1,77.0,0.0005240410100668,113.0,0.0014967089518904,120.0,0.0027989589143544,124.0,0.0870352499186992,113.0,0.0660442500375211,124.0,0,0
erdos_renyi,50,26,185,50,185,0.1510204081632653,7.4,12,3,1.928730152198591,0.1237359307359307,4,2.140408163265306,1.956783609498134,14.59249296046391,1.956783609498134,7.9901224143087,-5.2363585866047035,1,82.0,0.0005268340464681,125.0,0.0018611249979585,131.0,0.00247862492688,141.0,0.1106891250237822,131.0,0.0634304580744355,141.0,0,0
erdos_renyi,50,27,190,50,190,0.1551020408163265,7.6,13,4,2.5219040425836985,0.1663910533910534,4,2.1028571428571428,2.1476091294734787,15.418503405271446,2.1476091294734787,8.49540029954694,-5.103752776543009,1,107.0,0.0005556670948863,136.0,0.0015487500932067,134.0,0.0027735840994864,141.0,0.0958239170722663,135.0,0.0613242499530315,141.0,0,0
erdos_renyi,50,28,169,50,169,0.1379591836734693,6.76,11,2,2.0548479262466115,0.1146551226551226,4,2.190204081632653,1.6774736144744558,13.039741958539151,1.6774736144744558,7.348608512703633,-4.579635820671363,1,81.0,0.0005215418059378,120.0,0.0020044581033289,126.0,0.002202000003308,130.0,0.1000567078590393,116.0,0.0665137921459972,130.0,0,0
erdos_renyi,50,29,156,50,156,0.1273469387755102,6.24,12,3,2.371160053644629,0.1224227994227994,4,2.2742857142857145,1.5087335199264489,14.397032324992963,1.5087335199264489,7.156912814303679,-4.402764790711237,1,79.0,0.0005190419033169,118.0,0.0022229170426726,117.0,0.0018143749330192,119.0,0.0965471249073743,112.0,0.0629681670106947,119.0,0,0
erdos_renyi,100,0,730,100,730,0.1474747474747474,14.6,25,8,3.449637662132068,0.1464146167901585,3,1.944040404040404,6.159800312978991,27.17504706289886,6.159800312978991,15.443901820113634,-6.8531093526284845,1,388.0,0.0009900829754769,487.0,0.0053927500266581,481.0,0.0123262500856071,490.0,0.4124192500021308,481.0,0.0735420000273734,490.0,0,0
erdos_renyi,100,1,743,100,743,0.1501010101010101,14.86,26,8,3.591712683386576,0.1520237115571346,3,1.942020202020202,6.3313233156429165,28.23199909465972,6.3313233156429165,15.794404853691145,-6.913456255877463,1,385.0,0.001523750135675,471.0,0.004105957923457,487.0,0.0074185829143971,492.0,0.4256442091427743,493.0,0.0725466669537127,492.0,1,0
erdos_renyi,100,2,732,100,732,0.1478787878787879,14.64,21,8,3.0050623953588715,0.161807323911039,3,1.948888888888889,6.184356460230287,25.177915664704095,6.184356460230287,15.308518575115954,-7.01593448744187,1,391.0,0.0010387089569121,468.0,0.0037417500279843,485.0,0.0078262919560074,488.0,0.4138498329557478,474.0,0.066261125029996,488.0,0,0
erdos_renyi,100,3,751,100,751,0.1517171717171717,15.02,24,6,3.80783402999658,0.1571117209393558,3,1.941818181818182,5.273873065765403,27.21993434577753,5.273873065765403,16.028208434976296,-7.009244665325881,1,384.0,0.0009992499835789,492.0,0.0088535000104457,492.0,0.0077193339820951,505.0,0.347399584017694,497.0,0.0678608750458806,505.0,0,0
erdos_renyi,100,4,816,100,816,0.1648484848484848,16.32,29,7,4.032071427938746,0.1712645140043474,3,1.8903030303030304,6.326262327569313,31.00114119195964,6.326262327569313,17.330914238099865,-6.980833032439198,1,424.0,0.0010175420902669,525.0,0.0069553339853882,526.0,0.0069702919572591,538.0,0.4063724998850375,535.0,0.0712880420032888,538.0,0,0
erdos_renyi,100,5,691,100,691,0.1395959595959596,13.82,23,7,3.047556398165586,0.1389856968647182,3,1.9763636363636363,5.899741176936138,25.29860182988052,5.899741176936138,14.496760164437436,-6.838904053293236,1,368.0,0.0009417911060154,449.0,0.0057801669463515,462.0,0.0071370829828083,471.0,0.401019416982308,450.0,0.0692485410254448,471.0,0,0
erdos_renyi,100,6,732,100,732,0.1478787878787879,14.64,24,7,3.5482953653832148,0.1459931325610421,3,1.9426262626262627,6.008576087859145,26.53140209615369,6.008576087859145,15.506557552173248,-7.086144085853109,1,368.0,0.0010915000457316,476.0,0.0036689999978989,479.0,0.0065151248127222,492.0,0.4346790418494493,488.0,0.0747057499829679,492.0,0,0
erdos_renyi,100,7,697,100,697,0.1408080808080808,13.94,26,3,3.5037693988046645,0.1425590946377324,3,1.9723232323232325,2.7689326787085733,27.869171409875353,2.7689326787085733,14.81828057933302,-7.133448735037518,1,351.0,0.0014457919169217,464.0,0.0057594999670982,454.0,0.0086613330058753,481.0,0.450147750088945,462.0,0.0866773331072181,481.0,0,0
erdos_renyi,100,8,766,100,766,0.1547474747474747,15.32,25,4,3.773274440058661,0.1673918492195649,3,1.9296969696969697,3.697839303562977,27.881480089236316,3.697839303562977,16.26506189838453,-7.362373815703034,1,397.0,0.001011790940538,493.0,0.0061697920318692,502.0,0.0070894169621169,510.0,0.4606555420905351,479.0,0.0870910410303622,510.0,0,0
erdos_renyi,100,9,751,100,751,0.1517171717171717,15.02,25,7,3.4841928764062415,0.1553720702556144,3,1.936969696969697,6.103850892835931,27.441939462413337,6.103850892835931,15.82944953086973,-7.407703539565582,1,373.0,0.0011218751315027,469.0,0.0037387078627943,500.0,0.0073378330562263,502.0,0.4146949579007923,499.0,0.0655143340118229,502.0,0,0
