n,instance,nn_length,nn_time,christofides_length,christofides_time,twoopt_length,twoopt_time,gnn_length,gnn_time,best_classical,gnn_wins
50,8,6.768197363200382,0.0004944170359522104,6.6646975669038575,0.010981165803968906,6.108995453584677,0.0036822918336838484,6.108995453584677,0.008173791924491525,6.108995453584677,0
50,9,6.9368139314955455,0.0004740830045193434,5.8951512883315775,0.009624292142689228,5.652982705872262,0.0061134169809520245,5.652982705872262,0.00975970784202218,5.652982705872262,0
50,10,6.839376013029323,0.0003462920431047678,6.161625295326052,0.015081249875947833,5.783104578324194,0.004826625110581517,5.783104578324194,0.01094391685910523,5.783104578324194,0
50,11,7.127227059732436,0.0003545831423252821,6.543161419647534,0.010748917004093528,6.590027454021613,0.003974833060055971,6.590027454021613,0.008418667130172253,6.543161419647534,0
50,12,6.123324418696529,0.0005057919770479202,5.961295838511595,0.010223541874438524,5.518220800537286,0.0036477919202297926,5.518220800537286,0.008361208951100707,5.518220800537286,0
50,13,6.518970815376326,0.00035487511195242405,6.165943695545915,0.010766332969069481,5.923095351656468,0.005141332978382707,5.923095351656468,0.010061334120109677,5.923095351656468,0
50,14,8.227975883528334,0.0005004999693483114,6.578359738685785,0.009021333884447813,6.867104351172527,0.004757874878123403,6.867104351172527,0.009635791881009936,6.578359738685785,0
50,15,7.686388707567199,0.0003510829992592335,6.473949102140262,0.00929979095235467,6.051884604909719,0.006460708100348711,6.051884604909719,0.011605334002524614,6.051884604909719,0
50,16,6.732071737942716,0.0005047919694334269,6.508278816627645,0.008296000072732568,6.108251567394231,0.0037509161047637463,6.108251567394231,0.009895749855786562,6.108251567394231,0
50,17,6.640116168339916,0.0003506250213831663,6.510073571363777,0.012257040943950415,6.020387644371437,0.0039575828704983,6.020387644371437,0.008415166987106204,6.020387644371437,0
50,18,7.721861467207203,0.0004949162248522043,6.178498677259626,0.009018292184919119,6.376228156710224,0.004751625005155802,6.376228156710224,0.009619042044505477,6.178498677259626,0
50,19,6.6842336799943975,0.0003563750069588423,6.068197233454157,0.009205541107803583,5.826649100882996,0.005097291897982359,5.826649100882996,0.010105416877195239,5.826649100882996,0
50,20,7.429139667677258,0.000496540917083621,6.222732109211371,0.010303667047992349,5.973135514247844,0.0049130420666188,5.973135514247844,0.009371541906148195,5.973135514247844,0
50,21,7.443882954800469,0.0003486247733235359,6.478433440481003,0.016236708033829927,6.026815149007493,0.006165249971672893,6.026815149007493,0.010804957943037152,6.026815149007493,0
50,22,7.323418332986485,0.0003605000674724579,6.6089557919600095,0.007829749956727028,5.878981960332647,0.00887729087844491,5.878981960332647,0.016407124930992723,5.878981960332647,0
50,23,7.519877241864247,0.0003441248554736376,6.276056900234979,0.007643291959539056,6.321356102346578,0.005152250174432993,6.321356102346578,0.010356915881857276,6.276056900234979,0
50,24,7.094194422487669,0.0004867080133408308,6.667263539770838,0.009212790988385677,6.251675776392196,0.004911708179861307,6.251675776392196,0.009541166946291924,6.251675776392196,0
50,25,7.401598435701516,0.00037075020372867584,6.553783614739604,0.007315334165468812,6.8780853433811915,0.002506667049601674,6.8780853433811915,0.006302291993051767,6.553783614739604,0
50,26,7.28780185066895,0.00035112490877509117,6.388054425176412,0.009494083002209663,5.959776678688207,0.00641866703517735,5.959776678688207,0.011503749992698431,5.959776678688207,0
50,27,6.187950586108919,0.0004870831035077572,6.031633887319498,0.013116040965542197,5.576796314666856,0.0037354170344769955,5.576796314666856,0.008753000060096383,5.576796314666856,0
50,28,5.984974189576425,0.0004939590580761433,6.300970826341892,0.014841875061392784,5.76507926599418,0.002481166971847415,5.76507926599418,0.008810166968032718,5.76507926599418,0
50,29,7.192384864160593,0.0003367089666426182,6.354466221039905,0.009863125160336494,6.506800376608203,0.005090165883302689,6.506800376608203,0.010184583952650428,6.354466221039905,0
100,0,10.063968586445139,0.0018124580383300781,8.024776541785991,0.058083999902009964,7.8338413554700015,0.015179416164755821,7.8338413554700015,0.028138708090409636,7.8338413554700015,0
100,1,9.784171267954854,0.0012834579683840275,8.665819929649839,0.04610283300280571,8.405120212580199,0.025355709018185735,8.405120212580199,0.03546874993480742,8.405120212580199,0
100,2,9.095792920985016,0.0012829999905079603,8.654013302147712,0.0657372500281781,8.22229185773124,0.015128790866583586,8.22229185773124,0.025404874933883548,8.22229185773124,0
100,3,9.716250283067176,0.0012766250874847174,8.440984630683586,0.0587522501591593,8.441705149160505,0.024845541920512915,8.441705149160505,0.03690645797178149,8.440984630683586,0
100,4,10.108518049302313,0.0012755831703543663,8.46719804272261,0.05840645800344646,8.524754976432574,0.030605874955654144,8.524754976432574,0.044476167066022754,8.46719804272261,0
100,5,9.01111671587722,0.0012748748995363712,8.635653090816376,0.07432733406312764,8.271385075838557,0.02062462503090501,8.271385075838557,0.03260475001297891,8.271385075838557,0
100,6,9.523336301300596,0.0012752499897032976,9.008787910583651,0.06699516694061458,8.721854190125324,0.025083167012780905,8.721854190125324,0.04046229203231633,8.721854190125324,0
100,7,9.051883647411698,0.001312500098720193,8.410580143651835,0.04587583290413022,8.311850579644426,0.015112499939277768,8.311850579644426,0.027339792111888528,8.311850579644426,0
100,8,9.681040251678562,0.0012807080056518316,8.878242520780452,0.1576867918483913,8.076264878081274,0.01486816699616611,8.076264878081274,0.02691045799292624,8.076264878081274,0
100,9,9.431928664596931,0.0012153750285506248,8.361737747618921,0.057486957870423794,8.131870884092915,0.03020345908589661,8.131870884092915,0.042112707858905196,8.131870884092915,0
100,10,10.67889649597862,0.0012158339377492666,9.138799543392066,0.09092079196125269,8.932814885469048,0.02507829200476408,8.932814885469048,0.04060558299534023,8.932814885469048,0
100,11,9.991670971965377,0.001345125027000904,8.658306879183655,0.06514662504196167,8.216212612326856,0.025161457946524024,8.216212612326856,0.04043241706676781,8.216212612326856,0
100,12,9.376766133358466,0.0015551249962300062,8.807042652368144,0.07631174987182021,7.960620766661551,0.02005829196423292,7.960620766661551,0.031876625027507544,7.960620766661551,0
100,13,9.806879270809373,0.0012682080268859863,9.499777475398117,0.0835839998908341,8.462240465565756,0.030058917123824358,8.462240465565756,0.04321475001052022,8.462240465565756,0
100,14,10.641903164164287,0.0012337921652942896,8.923918692366918,0.06089724996127188,8.40479797383608,0.02026545791886747,8.40479797383608,0.03084387513808906,8.40479797383608,0
