family,n,instance,m,density,avg_degree,max_degree,min_degree,degree_std,clustering_coeff,diameter,avg_path_length,spectral_gap,lambda_max_laplacian,algebraic_connectivity,spectral_radius,lambda_min_adj,n_components,greedy_colors,greedy_time,welsh_powell_colors,welsh_powell_time,dsatur_colors,dsatur_time,dsatur_valid,gnn_colors,gnn_time,gnn_valid,best_classical,gnn_wins
erdos_renyi,50,0,179,0.14612244897959184,7.16,13,2,2.377898231632296,0.11326973026973026,4,2.1518367346938776,1.6092390528432876,15.394007505802898,1.6092390528432876,7.993769073320912,-5.069990408220006,1,6,0.0002488340251147747,5,7.625017315149307e-05,5,0.0007752079982310534,True,20,0.0015914589166641235,True,5,0
erdos_renyi,50,1,192,0.156734693877551,7.68,14,2,2.4774180107523236,0.14641192141192141,4,2.097142857142857,1.5808722203987238,16.192081750603094,1.5808722203987238,8.460373896979673,-5.2294078907771055,1,6,0.0002690840046852827,5,7.824995554983616e-05,5,0.0007750419899821281,True,20,0.0018885000608861446,True,5,0
erdos_renyi,50,2,183,0.1493877551020408,7.32,13,3,2.2929457036746426,0.14625252525252525,4,2.1420408163265305,2.2551735675284745,15.647320658649686,2.2551735675284745,8.142094425276797,-4.5552100412376495,1,6,0.0002515409141778946,6,7.64171127229929e-05,5,0.0007726659532636404,True,20,0.0015772499609738588,True,5,0
erdos_renyi,50,3,174,0.14204081632653062,6.96,13,2,2.7346663416219537,0.15884115884115885,4,2.2114285714285713,1.4462865434669687,15.354760688045902,1.4462865434669687,8.030409770252708,-4.936267085542816,1,6,0.00026199989952147007,6,7.650000043213367e-05,5,0.0007684589363634586,True,20,0.0015817920211702585,True,5,0
erdos_renyi,50,4,214,0.17469387755102042,8.56,17,4,2.6469605210505125,0.19680673901262136,3,2.008979591836735,3.0539431853521086,18.68812173145126,3.0539431853521086,9.2971296951782,-5.012746370969956,1,8,0.0002575828693807125,6,8.04997980594635e-05,5,0.0007853750139474869,True,16,0.0016982080414891243,True,5,0
erdos_renyi,50,5,163,0.13306122448979593,6.52,12,2,1.8680471086136987,0.1122164502164502,4,2.230204081632653,1.6245749726049739,13.682971902889772,1.6245749726049739,7.068377397055038,-4.455422949609886,1,6,0.0002532079815864563,5,7.337494753301144e-05,5,0.0007692910730838776,True,20,0.0015609171241521835,True,5,0
erdos_renyi,50,6,179,0.14612244897959184,7.16,14,3,2.532666578924277,0.171030192030192,4,2.146938775510204,1.9236839031690673,15.827343806909827,1.9236839031690673,8.012514244126088,-4.846295704666444,1,7,0.00025500007905066013,5,7.475004531443119e-05,4,0.0007761658634990454,True,20,0.001536667114123702,True,4,0
erdos_renyi,50,7,189,0.15428571428571428,7.56,15,3,2.8224811779709,0.18574347874347874,4,2.1053061224489795,1.9726937201069512,16.77097695751688,1.9726937201069512,8.600601135981073,-5.013159485067725,1,6,0.00025462498888373375,6,7.745809853076935e-05,5,0.0007804578635841608,True,20,0.0018614169675856829,True,5,0
erdos_renyi,50,8,200,0.16326530612244897,8.0,13,4,2.32379000772445,0.16042857142857142,3,2.0538775510204084,2.6894949818547853,15.995118683774852,2.6894949818547853,8.747023635332745,-4.9040892376146745,1,6,0.00026033399626612663,6,7.812492549419403e-05,5,0.0007760829757899046,True,20,0.001591457985341549,True,5,0
erdos_renyi,50,9,179,0.14612244897959184,7.16,15,2,2.9418361613115027,0.1501181041181041,4,2.1330612244897957,1.6596119776128175,16.901063097516847,1.6596119776128175,8.31996168888153,-4.7604521847376455,1,6,0.0002590420190244913,5,7.487484253942966e-05,5,0.000777791952714324,True,19,0.0015776248183101416,True,5,0
erdos_renyi,50,10,168,0.13714285714285715,6.72,12,2,2.1169789795838785,0.1482005772005772,4,2.204081632653061,1.5113113330667622,14.138027817150437,1.5113113330667622,7.437453835710453,-4.406278592697816,1,6,0.00025220797397196293,6,7.324991747736931e-05,5,0.0007730419747531414,True,20,0.0015291250310838223,True,5,0
erdos_renyi,50,11,182,0.14857142857142858,7.28,12,1,2.416940214403327,0.1402005772005772,4,2.1575510204081634,0.8229201059873554,15.117411113726051,0.8229201059873554,8.14733852079597,-5.010525761002696,1,6,0.0002573339734226465,5,7.562502287328243e-05,5,0.0007797081489115953,True,20,0.0015487498603761196,True,5,0
erdos_renyi,50,12,182,0.14857142857142858,7.28,14,2,2.5771301868551384,0.13965145965145964,4,2.1216326530612246,1.5953684196358735,15.965913961639902,1.5953684196358735,8.218504679581894,-5.339812352332288,1,7,0.00025104102678596973,5,7.541687227785587e-05,5,0.0008004170376807451,True,20,0.001543582882732153,True,5,0
erdos_renyi,50,13,167,0.1363265306122449,6.68,12,2,2.3953287874527787,0.11947763347763347,4,2.20734693877551,1.5752336927402333,14.02618631604345,1.5752336927402333,7.496163360144799,-4.560371441303693,1,6,0.00024949992075562477,5,7.337494753301144e-05,4,0.0007746671326458454,True,20,0.0018207079265266657,True,4,0
erdos_renyi,50,14,180,0.1469387755102041,7.2,12,1,2.4657656011875906,0.133004329004329,4,2.1518367346938776,0.894511947023929,14.848032038041898,0.894511947023929,8.074404034168104,-4.668070508207524,1,6,0.00025595794431865215,5,7.670815102756023e-05,5,0.0007817079313099384,True,19,0.0015742499381303787,True,5,0
erdos_renyi,50,15,177,0.14448979591836736,7.08,14,2,2.3395726105423615,0.14622066822066823,4,2.1518367346938776,1.704573116834599,15.789553258330788,1.704573116834599,7.860730648911138,-4.548395439450866,1,5,0.00025483290664851665,5,7.462501525878906e-05,4,0.0007682498544454575,True,20,0.0015600419137626886,True,4,0
erdos_renyi,50,16,167,0.1363265306122449,6.68,12,2,2.4774180107523236,0.147011544011544,4,2.236734693877551,1.3535536941475237,14.009885944041677,1.3535536941475237,7.604797438094929,-4.701486391187759,1,6,0.00025804201140999794,5,7.404200732707977e-05,5,0.0007713751401752234,True,20,0.0015544998459517956,True,5,0
