family,n,instance,m,gnn_nols,gnn_ls,sdp_bound,rand_ls
planted_partition,200,10,3944,44.0,2289.0,2405.7173147544127,2308.0
planted_partition,200,11,3973,36.0,2298.0,2427.0554275092572,2286.0
planted_partition,200,12,3968,46.0,2329.0,2432.364392953309,2279.0
planted_partition,200,13,3887,33.0,2254.0,2379.6814617009313,2262.0
planted_partition,200,14,3869,46.0,2225.0,2380.102889158851,2233.0
planted_partition,200,15,4008,36.0,2312.0,2449.132445148218,2330.0
planted_partition,200,16,3961,38.0,2292.0,2429.5351575605855,2290.0
planted_partition,200,17,3969,34.0,2296.0,2433.921832731796,2303.0
planted_partition,200,18,3919,50.0,2265.0,2403.690052129609,2280.0
planted_partition,200,19,3898,34.0,2263.0,2386.179385320905,2270.0
planted_partition,200,20,3914,36.0,2281.0,2409.413544642478,2289.0
planted_partition,200,21,3967,40.0,2296.0,2429.9826995927406,2337.0
planted_partition,200,22,3891,50.0,2280.0,2388.694942209236,2279.0
planted_partition,200,23,3976,34.0,2314.0,2431.3966376265143,2297.0
planted_partition,200,24,4008,36.0,2328.0,2450.362878084531,2305.0
planted_partition,200,25,3942,37.0,2289.0,2413.0321634769425,2284.0
planted_partition,200,26,3858,37.0,2268.0,2375.128509313594,2249.0
planted_partition,200,27,3930,36.0,2274.0,2406.88361374676,2302.0
planted_partition,200,28,3954,45.0,2289.0,2421.8342070902563,2302.0
planted_partition,200,29,3905,40.0,2269.0,2397.6994541112863,2282.0
random_regular,20,0,30,3.0,26.0,27.475946273265652,25.0
random_regular,20,1,30,3.0,24.0,27.05333037039535,25.0
random_regular,20,2,30,3.0,26.0,28.13132041581,26.0
random_regular,20,3,30,3.0,25.0,27.859473750415347,26.0
random_regular,20,4,30,3.0,24.0,26.305490880268508,24.0
random_regular,20,5,30,3.0,25.0,27.15291753619129,24.0
random_regular,20,6,30,3.0,27.0,27.19116189578083,27.0
random_regular,20,7,30,3.0,24.0,26.49349789349655,25.0
random_regular,20,8,30,3.0,26.0,26.750008168341296,25.0
random_regular,20,9,30,3.0,27.0,27.32422005526868,25.0
random_regular,20,10,30,3.0,25.0,26.62051880662423,24.0
random_regular,20,11,30,3.0,26.0,27.50338869209218,26.0
random_regular,20,12,30,3.0,24.0,26.53387514650215,24.0
random_regular,20,13,30,3.0,24.0,27.376711160313228,26.0
random_regular,20,14,30,3.0,25.0,27.394452458927063,24.0
random_regular,20,15,30,3.0,26.0,28.299288138179996,25.0
random_regular,20,16,30,3.0,25.0,26.281547615559795,24.0
random_regular,20,17,30,3.0,23.0,25.723443748398736,23.0
random_regular,20,18,30,3.0,27.0,27.88094836215538,26.0
random_regular,20,19,30,3.0,26.0,26.987428655978434,24.0
random_regular,20,20,30,3.0,26.0,27.32439724278451,25.0
random_regular,20,21,30,3.0,24.0,27.31080339726894,24.0
random_regular,20,22,30,3.0,24.0,26.85212395633272,25.0
random_regular,20,23,30,3.0,26.0,28.60599606714184,28.0
random_regular,20,24,30,3.0,23.0,27.740213418018943,27.0
random_regular,20,25,30,3.0,24.0,28.110992028674055,28.0
random_regular,20,26,30,3.0,24.0,27.124996193576916,25.0
random_regular,20,27,30,3.0,26.0,27.26627180987864,24.0
random_regular,20,28,30,3.0,25.0,26.568793778619614,24.0
random_regular,20,29,30,3.0,23.0,27.582206818517555,26.0
random_regular,50,0,75,3.0,68.0,71.07478771373081,65.0
random_regular,50,1,75,3.0,65.0,69.15206410809094,63.0
random_regular,50,2,75,3.0,62.0,70.75748680589064,62.0
random_regular,50,3,75,3.0,60.0,71.05582852318513,64.0
random_regular,50,4,75,3.0,63.0,69.49204595365674,66.0
random_regular,50,5,75,3.0,61.0,70.99479326845585,62.0
random_regular,50,6,75,3.0,62.0,69.14841033180413,62.0
random_regular,50,7,75,3.0,63.0,71.60842166962729,66.0
random_regular,50,8,75,3.0,67.0,70.74334930231025,66.0
random_regular,50,9,75,3.0,63.0,68.1071975780676,62.0
random_regular,50,10,75,3.0,63.0,70.45281310672752,63.0
random_regular,50,11,75,3.0,65.0,70.93334708809968,65.0
random_regular,50,12,75,3.0,61.0,69.90095628445411,64.0
random_regular,50,13,75,3.0,65.0,71.21037634167689,64.0
random_regular,50,14,75,3.0,61.0,69.80460462116199,63.0
random_regular,50,15,75,3.0,65.0,69.4407745173265,64.0
random_regular,50,16,75,3.0,62.0,69.6939972933599,59.0
random_regular,50,17,75,3.0,60.0,69.43859807086356,64.0
random_regular,50,18,75,3.0,61.0,70.95602822027007,63.0
random_regular,50,19,75,3.0,64.0,70.8695924164118,67.0
random_regular,50,20,75,3.0,65.0,70.49066493084885,63.0
random_regular,50,21,75,3.0,61.0,70.03374770572586,61.0
random_regular,50,22,75,3.0,63.0,70.02974122915734,61.0
random_regular,50,23,75,3.0,64.0,70.46279886279243,61.0
random_regular,50,24,75,3.0,64.0,70.88745248306242,65.0
random_regular,50,25,75,3.0,69.0,71.77108429216148,61.0
random_regular,50,26,75,3.0,62.0,70.76541052751473,67.0
random_regular,50,27,75,3.0,62.0,70.90386504326106,63.0
random_regular,50,28,75,3.0,65.0,69.67845008798703,60.0
random_regular,50,29,75,3.0,66.0,71.79539237862863,67.0
random_regular,100,0,150,3.0,121.0,141.17339020328228,128.0
random_regular,100,1,150,3.0,131.0,140.57005744586317,128.0
random_regular,100,2,150,3.0,124.0,141.204481914032,125.0
random_regular,100,3,150,3.0,129.0,142.60945004892253,126.0
random_regular,100,4,150,3.0,127.0,142.07564425819282,126.0
random_regular,100,5,150,3.0,124.0,142.58366046816917,124.0
random_regular,100,6,150,3.0,134.0,142.1405400292553,124.0
random_regular,100,7,150,3.0,131.0,140.85436545034878,127.0
random_regular,100,8,150,3.0,126.0,141.95452060037718,128.0
random_regular,100,9,150,3.0,130.0,141.90507473066307,131.0
random_regular,100,10,150,3.0,131.0,142.33457590132127,128.0
random_regular,100,11,150,3.0,122.0,141.18953464536764,126.0
random_regular,100,12,150,3.0,119.0,143.131673288635,130.0
random_regular,100,13,150,3.0,126.0,141.15055845737768,131.0
random_regular,100,14,150,3.0,129.0,141.9181381387341,124.0
random_regular,100,15,150,3.0,125.0,143.2233912408077,124.0
random_regular,100,16,150,3.0,123.0,141.70430499505918,129.0
random_regular,100,17,150,3.0,126.0,141.36161714389084,121.0
random_regular,100,18,150,3.0,123.0,141.47844332480423,130.0
random_regular,100,19,150,3.0,122.0,142.59018274852232,129.0
random_regular,100,20,150,3.0,126.0,141.83185689027033,131.0
random_regular,100,21,150,3.0,127.0,141.7354854351682,129.0
random_regular,100,22,150,3.0,125.0,143.00676246430595,123.0
random_regular,100,23,150,3.0,125.0,141.49488050724233,122.0
random_regular,100,24,150,3.0,126.0,140.85754294595222,128.0
random_regular,100,25,150,3.0,124.0,142.0067304608711,125.0
random_regular,100,26,150,3.0,132.0,143.14512938556885,130.0
random_regular,100,27,150,3.0,126.0,142.99619979362038,129.0
random_regular,100,28,150,3.0,127.0,142.56903371334357,132.0
random_regular,100,29,150,3.0,128.0,140.97470565178844,123.0
